Release Date,Channel,Version,Build
2026-01-13,Current Channel,2512,19530.20144
2026-01-13,Monthly Enterprise Channel,2511,19426.20260
2026-01-13,Monthly Enterprise Channel,2510,19328.20292
2026-01-13,Monthly Enterprise Channel,2509,19231.20300
2026-01-13,Semi-Annual Enterprise Channel,2508,19127.20484
2026-01-13,Semi-Annual Enterprise Channel,2502,18526.20696
2026-01-13,Semi-Annual Enterprise Channel,2408,17928.20762
2026-01-08,Current Channel,2512,19530.20138
2025-12-16,Current Channel,2511,19426.20218
2025-12-09,Current Channel,2511,19426.20186
2025-12-09,Monthly Enterprise Channel,2510,19328.20266
2025-12-09,Monthly Enterprise Channel,2509,19231.20274
2025-12-09,Monthly Enterprise Channel,2508,19127.20402
2025-12-09,Semi-Annual Enterprise Channel,2502,18526.20672
2025-12-09,Semi-Annual Enterprise Channel,2408,17928.20742
2025-12-03,Current Channel,2511,19426.20170
2025-11-20,Current Channel,2510,19328.20244
2025-11-18,Current Channel,2510,19328.20232
2025-11-17,Monthly Enterprise Channel,2507,19029.20300
2025-11-14,Monthly Enterprise Channel,2508,19127.20384
2025-11-11,Current Channel,2510,19328.20190
2025-11-11,Monthly Enterprise Channel,2509,19231.20246
2025-11-11,Monthly Enterprise Channel,2508,19127.20358
2025-11-11,Monthly Enterprise Channel,2507,19029.20300
2025-11-11,Semi-Annual Enterprise Channel,2502,18526.20660
2025-11-11,Semi-Annual Enterprise Channel,2408,17928.20730
2025-11-04,Current Channel,2510,19328.20178
2025-10-30,Current Channel,2510,19328.20158
2025-10-21,Current Channel,2509,19231.20216
2025-10-16,Monthly Enterprise Channel,2508,19127.20314
2025-10-14,Current Channel,2509,19231.20194
2025-10-14,Monthly Enterprise Channel,2508,19127.20302
2025-10-14,Monthly Enterprise Channel,2507,19029.20274
2025-10-14,Monthly Enterprise Channel,2506,18925.20268
2025-10-14,Semi-Annual Enterprise Channel,2502,18526.20634
